"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Codigo postal";"Seccion de carteria"
"31001367";"CALLE                   ";"DE    ";"SABINO FERNANDEZ CAMPO                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"N/D"
"31001368";"CALLE                   ";"DE    ";"GABRIEL CISNEROS                                ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"N/D"
"31001368";"CALLE                   ";"DE    ";"GABRIEL CISNEROS                                ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"N/D"
"31001369";"CALLE                   ";"DE    ";"JOAQUIN RUIZ-GIMENEZ CORTES                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"N/D"
"31001369";"CALLE                   ";"DE    ";"JOAQUIN RUIZ-GIMENEZ CORTES                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"N/D"
"31001370";"PLAZA                   ";"DE    ";"ANGEL FRANCES                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28038";"N/D"
"31001370";"PLAZA                   ";"DE    ";"ANGEL FRANCES                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28038";"N/D"
"31001371";"PLAZA                   ";"DEL   ";"POETA LEOPOLDO DE LUIS                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28039";"N/D"
"31001371";"PLAZA                   ";"DEL   ";"POETA LEOPOLDO DE LUIS                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28039";"N/D"
"31001401";"CALLE                   ";"DE    ";"ANICETO PEREZ                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28041";"N/D"
"31001401";"CALLE                   ";"DE    ";"ANICETO PEREZ                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28041";"N/D"
"31001402";"CALLE                   ";"DE    ";"CIRILO MARTINEZ NOVILLO                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"N/D"
"31001402";"CALLE                   ";"DE    ";"CIRILO MARTINEZ NOVILLO                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"N/D"
"31001482";"PLAZA                   ";"      ";"CIVICA                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28037";"N/D"
"31001482";"PLAZA                   ";"      ";"CIVICA                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28037";"N/D"
"31001524";"CALLE                   ";"DEL   ";"PARROCO MAXIMO MARTINEZ DE CASTRO               ";"impar";"NUM";"000001";"  ";"009999";"  ";"28042";"N/D"
"31001524";"CALLE                   ";"DEL   ";"PARROCO MAXIMO MARTINEZ DE CASTRO               ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28042";"N/D"
"31001592";"AVENIDA                 ";"DE    ";"FRANCISCO JAVIER SAENZ DE OIZA                  ";"impar";"NUM";"000001";"  ";"000011";"  ";"28055";"N/D"
"31001592";"AVENIDA                 ";"DE    ";"FRANCISCO JAVIER SAENZ DE OIZA                  ";"impar";"NUM";"000013";"  ";"009999";"  ";"28055";"N/D"
"31001592";"AVENIDA                 ";"DE    ";"FRANCISCO JAVIER SAENZ DE OIZA                  ";"par  ";"NUM";"000002";"  ";"000212";"  ";"28055";"N/D"
"31001592";"AVENIDA                 ";"DE    ";"FRANCISCO JAVIER SAENZ DE OIZA                  ";"par  ";"NUM";"000214";"  ";"009998";"  ";"28055";"N/D"
"31001593";"CALLE                   ";"DE    ";"MARIA DE LAS MERCEDES DE BORBON                 ";"impar";"NUM";"000001";"  ";"000007";"  ";"28055";"N/D"
"31001593";"CALLE                   ";"DE    ";"MARIA DE LAS MERCEDES DE BORBON                 ";"impar";"NUM";"000009";"  ";"009999";"  ";"28055";"N/D"
"31001593";"CALLE                   ";"DE    ";"MARIA DE LAS MERCEDES DE BORBON                 ";"par  ";"NUM";"000002";"  ";"000108";"  ";"28055";"N/D"
"31001593";"CALLE                   ";"DE    ";"MARIA DE LAS MERCEDES DE BORBON                 ";"par  ";"NUM";"000110";"  ";"000132";"  ";"28055";"N/D"
"31001593";"CALLE                   ";"DE    ";"MARIA DE LAS MERCEDES DE BORBON                 ";"par  ";"NUM";"000134";"  ";"009998";"  ";"28055";"N/D"
"31001594";"CALLE                   ";"DE    ";"JULIO CANO LASSO                                ";"impar";"NUM";"000001";"  ";"000149";"  ";"28055";"N/D"
"31001594";"CALLE                   ";"DE    ";"JULIO CANO LASSO                                ";"impar";"NUM";"000151";"  ";"009999";"  ";"28055";"N/D"
"31001594";"CALLE                   ";"DE    ";"JULIO CANO LASSO                                ";"par  ";"NUM";"000002";"  ";"000016";"  ";"28055";"N/D"
"31001594";"CALLE                   ";"DE    ";"JULIO CANO LASSO                                ";"par  ";"NUM";"000018";"  ";"009998";"  ";"28055";"N/D"
"31001595";"AVENIDA                 ";"DE    ";"JUAN ANTONIO SAMARANCH                          ";"impar";"NUM";"000001";"  ";"000081";"  ";"28055";"N/D"
"31001595";"AVENIDA                 ";"DE    ";"JUAN ANTONIO SAMARANCH                          ";"impar";"NUM";"000083";"  ";"009999";"  ";"28055";"N/D"
"31001595";"AVENIDA                 ";"DE    ";"JUAN ANTONIO SAMARANCH                          ";"par  ";"NUM";"000002";"  ";"000066";"  ";"28055";"N/D"
"31001595";"AVENIDA                 ";"DE    ";"JUAN ANTONIO SAMARANCH                          ";"par  ";"NUM";"000068";"  ";"009998";"  ";"28055";"N/D"
"31001596";"AVENIDA                 ";"DE    ";"JOSE ANTONIO CORRALES                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28055";"N/D"
"31001596";"AVENIDA                 ";"DE    ";"JOSE ANTONIO CORRALES                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28055";"N/D"
"31001598";"AVENIDA                 ";"DE    ";"LAS FUERZAS ARMADAS                             ";"impar";"NUM";"000001";"  ";"009999";"  ";"28055";"N/D"
"31001598";"AVENIDA                 ";"DE    ";"LAS FUERZAS ARMADAS                             ";"par  ";"NUM";"000002";"  ";"000190";"  ";"28055";"N/D"
"31001598";"AVENIDA                 ";"DE    ";"LAS FUERZAS ARMADAS                             ";"par  ";"NUM";"000192";"  ";"009998";"  ";"28055";"N/D"
"31001617";"TRAVESIA                ";"DE    ";"VIVERO                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28011";"N/D"
"31001617";"TRAVESIA                ";"DE    ";"VIVERO                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28011";"N/D"
"31001618";"PLAZA                   ";"DE LAS";"COLUMNAS                                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"31001618";"PLAZA                   ";"DE LAS";"COLUMNAS                                        ";"par  ";"NUM";"000002";"  ";"009999";"  ";"28023";"N/D"
"31001627";"PASAJE                  ";"      ";"FORTUNA                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28019";"N/D"
"31001627";"PASAJE                  ";"      ";"FORTUNA                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28019";"N/D"
"31001628";"PASEO                   ";"DE LOS";"TILOS                                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28048";"N/D"
